config,case,n,k,T,exact_ms,approx_ms,speedup_over_exact,approx_mae,approx_max_abs_error,approx_mismatch_count,approx_fallback_count
accept_1p25_shell2_dense,tune_4096_k16_t15,4096,16,15,1.043383,0.727895,1.4334251506055131,0.087646484375,23,22,0
accept_1p25_shell2_dense,tune_8192_k32_t20,8192,32,20,2.815642,2.301075,1.2236202644416196,0.107177734375,24,97,0
accept_1p25_shell2_dense,tune_16384_k64_t30,16384,64,30,14.280845,13.347939,1.0698913892249582,0.07000732421875,16,260,0
accept_1p25_shell2_dense,tune_32768_k32_t20,32768,32,20,6.63513,6.061725,1.0945943605161896,0.057159423828125,16,230,0
accept_1p25_shell2_dense,tune_50000_k64_t30,50000,64,30,79.08536,62.741668,1.260491831361576,0.11002,20,1155,0
accept_1p25_shell2_dense,tune_75000_k96_t40,75000,96,40,313.920324,316.240006,0.9926648053504021,0.09233333333333334,16,2105,0
accept_1p25_shell2_dense,tune_100000_k128_t50,100000,128,50,881.655667,822.863271,1.0714485602554011,0.08054,16,3215,0
